screen_name,Year,Month,Date,text,likes,replies,retweets
stacyojackson,2019,1,31,".@ComplianceWeek covers new @DeloitteRiskFin solution built on @RelativityHQ to help orgs manage #dataprivacy, #FOIA requests and #compliance--and more. #legaltech #regtechhttps://www.complianceweek.com/blogs/grc-announcements/new-deloitte-solution-aids-privacy-managementÂ â€¦",3,0,1
MuckRock,2019,1,31,"MuckRock is offering free ""Mini Pro"" accounts for recently laid-off reporters https://buff.ly/2Wym7QtÂ #FOIA #journalismpic.twitter.com/m1AyOz25j3",3,0,5
thememoryhole2,2019,1,31,"Sebastian Gorka has given at least 3 guest lectures at Marine Corps University.
 
 I asked for recordings, transcripts, and handouts.
 
 Marine Corps says ""no records"" exist due to strict non-attribution policy.
 
 #FOIA 
 .",26,3,12
AltWeeklies,2019,1,31,"We joined an â€œamicus letterâ€ in Mann v. Competitive Enterprise Institute, in which the D.C. Court of Appeals looks at the breadth of the District of Columbiaâ€™s #antislapp law. #FOIA #freedomofinformation #freespeech #journalism (4/4)",1,0,0
AltWeeklies,2019,1,31,The issue in Courthouse News Service v. Yamasaki involves the right of immediate access to electronically filed court records. This brief was also drafted by @RCFP and was joined by 26 organizations: https://www.rcfp.org/wp-content/uploads/2019/01/2019-01-29-CNS-v-Yamasaki.pdfÂ â€¦ #FOIA #freedomofinformation #journalism (3/4),1,0,0
Bmore_history,2019,1,31,The @NSAGov invoked b(6) in response to my request for a list of accounts muted or blocked by them. #FOIA @NSArchive @NSANatepic.twitter.com/Oun5IhhtQK,3,0,1
AltWeeklies,2019,1,31,"We joined 27 other orgs on a brief drafted by @RCFP in Nat'l Veterans Legal Servs. Program v. US, which argues for lower fees in order to access federal court filings through the PACER system: https://www.rcfp.org/wp-content/uploads/2019/01/2019-01-24-NVLSP-v-US.pdfÂ â€¦ â€¦ #FOIA #freedomofinformation #freespeech #journalism (2/4)",1,0,1
SCPressAssoc,2019,1,31,Documents were obtained by @postandcourier through a #FOIA request. https://www.postandcourier.com/business/santee-cooper-board-took-expenses-paid-lake-trips-with-steak/article_2032ecd2-24ac-11e9-8cfd-c755779733d9.html?fbclid=IwAR0kI1JHEDpG2dJqjKpyRov7Xt2TKAj6wz9EBmwRdH0Isxe4RYvfKc5SHJ8Â â€¦,0,0,1
AltWeeklies,2019,1,31,AAN has joined several amicus briefs at the end of January. The next few tweets will provide a little information on each of them. (1/4) #FOIA #freedomofinformation #journalism #freespeech,1,0,0
ezra_lime,2019,1,31,"@maryforbc Unless the BC Liberals support 
 1) putting the BCLeg under the #FOIA and
 2) bringing in an independent auditor from outside BC
 they have zero credibility with BC voters. 
 #SorryNotSorry #bcpoli #plecasreport",1,0,0
ScotWalker1811,2019,1,31,#FOIA #governmtefficiency #oshaviolation #taxpayershttps://twitter.com/thomas_peele/status/1090356264536727553Â â€¦,2,1,0
jdfancher,2019,1,31,Thanks to Compliance Week for covering our new disclosure solution for managing #dataprivacy or #FOIA requests and #compliance. #legaltechhttps://twitter.com/Chris_May18/status/1091065027375828992Â â€¦,3,0,1
MuckRock,2019,1,31,#PGE's possible role in the #CampFire disaster has sparked a renewed discussion over the necessity of public oversight for privately-owned #utilities: https://buff.ly/2UvTGkuÂ #FOIA pic.twitter.com/MBkr097Lt1,1,0,1
Spfaendler,2019,1,31,".@ComplianceWeek covers new @DeloitteRiskFin solution built on @RelativityHQ to help orgs manage #dataprivacy, #FOIA requests and #compliance--and more. #legaltech #regtechhttps://www.complianceweek.com/blogs/grc-announcements/new-deloitte-solution-aids-privacy-managementÂ â€¦",1,0,0
Chris_May18,2019,1,31,".@ComplianceWeek covers new @DeloitteRiskFin solution built on @RelativityHQ to help orgs manage #dataprivacy, #FOIA requests and #compliance--and more. #legaltech #regtech
 https://www.complianceweek.com/blogs/grc-announcements/new-deloitte-solution-aids-privacy-managementÂ â€¦",1,0,0
gunita_singh,2019,1,31,"Terrific story by @Jezebel on the FBI's absurd threat category called ""pro-choice extremism."" Thanks @annamerlan for the coverage. #FOIA #prochoicehttps://twitter.com/PropOTP/status/1091056892447621120Â â€¦",7,0,5
PropOTP,2019,1,31,Big Story: FBI targeting Pro-Choice(!) Movement as Violent Terrorist Threat. Based on new docs we obtained. Reporting by @annamerlan for @Jezebel. #FOIA https://jezebel.com/exclusive-fbi-warned-law-enforcement-agencies-of-threa-1832134408Â â€¦,360,17,335
JamesCTobias,2019,1,31,.@CNNPolitics with a new story on @Interior's #FOIA mess. It cites the leaked Fish and Wildlife Service memo I got my hands late last year too. https://cnn.it/2HDWKtoÂ,2,1,0
Hugs4VAthugs,2019,1,31,"#VAaccountability starts @VAOAWP & their employees. Time to clean house, #expose wrongdoing, release #FOIA docs, be #transparent. If you have to hide docs to protect your own employees thereâ€™s NO point in your office, #taxpayer $ should be used to actually HELP not HURT #Veteranspic.twitter.com/0vO69XTIMa",19,2,27
MuckRock,2019,1,31,MuckRock's guide to the nine federal #FOIA exemptions: https://buff.ly/2CRFFpZÂ pic.twitter.com/KGHtO9XLMx,3,0,2
NSArchive,2019,1,31,â€œThis was a key moment that raised the Soviet sense of threatâ€: Declassified Documents Show Moscowâ€™s Fear of an Afghan Flip: FRINFORMSUM 1/31/2019 https://unredacted.com/2019/01/31/this-was-a-key-moment-that-raised-the-soviet-sense-of-threat-declassified-documents-show-moscows-fear-of-an-afghan-flip-frinformsum-1-31-2019/Â â€¦ #FOIA,2,0,8
freegovinfo,2019,1,31,Interior Department's #FOIA efficiency proposal panned as less transparent http://via.wtvr.com/gqv3MÂ,0,0,0
AltWeeklies,2019,1,31,AAN Joins Comments in US Deptarment of the @Interior FOIA Rulemaking http://aan.org/aan/aan-joins-comments-in-department-of-interior-foia-rulemaking/Â â€¦ #FOIA #FreedomOfInformation #journalism #freespeechpic.twitter.com/UWEXPL7r7Q,0,0,1
MuckRock,2019,1,31,Cooking with #FOIA: The #Soviet Armyâ€™s 1948 borscht recipe https://buff.ly/2Rq9FyyÂ #ColdWarHistpic.twitter.com/S8HuremNhE,9,1,3
RobbinMilne,2019,1,31,And personally this gets to what pisses me off about the Dem party. They can do whatever they want or not do (as in the case of Sanders) no one stood up for justice. And why would Dems be ok with HRC? #foia counts. She knew that. Instead circumvented FOIA w/pvtserver. Ok w/you?,1,1,0
MuckRock,2019,1,31,The #College Cola Contract #FOIA Crowdsouce has found that these agreements include everything from tournament parking to vending machine placement https://buff.ly/2Rum2tkÂ pic.twitter.com/eXKsUudrwI,3,0,0
nwademgaz,2019,1,31,"The lawsuit, filed in Washington County Circuit Court, contended the local district requested documents used by the state association to calculate a payment of $4,080 from the sale of the plates. 
 #NWANews #FOIA
 https://www.nwaonline.com/news/2019/jan/31/agreement-reached-in-foia-lawsuit-20190/?utm_medium=social&utm_source=twitter_nwademgazÂ â€¦pic.twitter.com/1hXQJcDOPs",0,0,0
hmbreview,2019,1,31,"@Interior proposes making #FOIA requests more onerous. No more emailed requests, fewer fee waivers, requiring info bound to thwart citizens and journalists alike. Papers like ours depend on @NatlParkService, @USFWS others agencies to explain management. Stop this bad idea.",0,0,1
RJPeltzSteele,2019,1,31,"#FreedomOfInformation (#RTI, #FOIA, #ATI) and the role of #journalism in #development and #accountability in #India, in new research @OfficialPU #SocialSciences research journal, http://www.thesavorytort.com/2019/01/research-examines-accountability.htmlÂ â€¦",0,0,0
FOIANate,2019,1,31,"Found it. https://www.judicialwatch.org/maps-and-charts-of-iraqi-oil-fields/Â â€¦. Judicial Watch actually won the #FOIA case. (Years ago, when they were more principled, before they started eating Alex's Jones's brain pills.) https://twitter.com/FOIANate/status/1091024739001356296Â â€¦",7,2,0
AnjDelgado,2019,1,31,We're working for a better #FOIA in Michigan. Read more https://twitter.com/freep/status/1091027197563932672Â â€¦,1,0,0
