screen_name,Year,Month,Date,text,likes,replies,retweets
twistnshout58,2018,11,25,"Well-the good news is that he skirted poorly. So guess we got it all. #ThesePeopleAreStupid
 #ThesePeopleAreSick #PanicInDC #PizzaGate #PedoGateNews #SaveOurChildren #WhereAreTheChildren #EndChildTrafficking #PresidentT #qanon #wwg1wga #MAGA #FOIA #Agenda21 #DrainTheDeepStatehttps://twitter.com/C_3C_3/status/1064886688906924032Â â€¦",0,0,0
MarkSZaidEsq,2018,11,25,"(6) I met many primary ppl who were witnesses to assassination & authored books. I rep'd two JFK @SecretService agents in follow up car, State Dept official who interacted w/LHO in Moscow & pursued many #FOIA lawsuits for records. Even had drinks w/Marina
 
 http://articles.baltimoresun.com/1998-02-03/news/1998034023_1_hickey-secret-service-president-john-fÂ â€¦",0,1,0
schneiderleonid,2018,11,25,"@bristoluni is perfectly free to lie under #FOIA. The confidential documents I published clearly mention certain Kaidi papers. 
 But as the Macchiarini-Birchall trachea affair proved already, this university is above the law. http://forbetterscience.com/2016/11/02/claudias-trachea/Â â€¦",1,1,1
MuckRock,2018,11,25,MuckRock wants you to share your pretty baby pupper photos with us as we embark on a new phase of one of our longest-running #FOIA beats: nationwide #dog and pet names and breeds. https://buff.ly/2R8oO8BÂ #dogsoftwitterpic.twitter.com/kFRnrRKKMR,2,0,0
ivriblack,2018,11,25,US GOV'T LOSES LANDMARK #VACCINE LAWSUIT https://youtu.be/rXaqCjsYnusÂ via @YouTube #autism #cancer #truth #inflammatory #arthritis #VaccineInjuryCompensationAct #HHS #VaccineSafety #FOIA #FDA #NVIC #vaccineCourt #MandatedVaccines #Exemptions,0,0,0
MuckRock,2018,11,25,Looking for a master's class in transparency? We've compiled all of a #FOIA tips and tricks into one project page: https://buff.ly/2AcX4IBÂ pic.twitter.com/NnFZKpYoAl,5,0,2
MuckRock,2018,11,25,"The #RonaldReagan #FBI file Crowdsource has unearthed new chapters in the Gipper's decades-long relationship with the Bureau, and even offered insight into how the FBI processes #FOIA requests. Take a minute and contribute today! https://buff.ly/2S5jSkIÂ pic.twitter.com/b1m3azVf2N",3,0,1
MuckRock,2018,11,25,The agreement between #CDCR and #CALFIRE guides the responsibilities of the two #California departments in their use of #prisoners to prepare for and put out #wildfires https://buff.ly/2S5jJhaÂ #FOIA #CaliforniaFirespic.twitter.com/CXlYxZmJeG,0,1,2
probesreporter,2018,11,25,"Hey Georgie - FYI, prisoners are allowed to file #FOIA requests. Happens all the time. Maybe ask your new pals at Club Fed about it when you get there this week. https://twitter.com/GeorgePapa19/status/1066521834387111936Â â€¦",0,0,0
ficiesse,2018,11,25,"#FOIA COMANDI DI DIREZIONE E CONTROLLO #GDF, PRESENTATO IL RICORSO CONTRO IL DINIEGO DEL COMANDO GENERALE SUI DATI AGGREGATI DEGLI IMPIEGHI SIRIS 2015-2017 http://www.ficiesse.it/home-page/11627/foia-comandi-di-direzione-e-controllo-gdf_-presentato-il-ricorso-contro-il-diniego-del-comando-generale-sui-dati-aggregati-degli-impieghi-siris-2015-2017Â â€¦",0,0,0
resentfultweet,2018,11,25,#FOIA is Burke and Hare meets Rosencrantz and Guildenstern,1,0,0
MuckRock,2018,11,25,#Kentucky state records requesters should submit #FOIA requests the old-fashioned way https://buff.ly/2DRSWSlÂ pic.twitter.com/kqq4prUPaf,1,1,1
StinkMovie,2018,11,25,"â€œIf a product is on the shelf then it must be safe,â€ right? We were shocked by the FDAs response to our FOIA request about the chemicals hidden in Axe Body Spray. Caveat emptor! #stinkmovie #fda #axe #FOIA #netflix #Documentary $ULpic.twitter.com/vdosVHfvnF",6,1,6
johnpringdns,2018,11,25,"Campaignerâ€™s six-year battle to secure the truth about universal credit
 #UniversalCredit #FoI #FoIA #DWP
 https://www.disabilitynewsservice.com/campaigners-six-year-battle-to-secure-the-truth-about-universal-credit/Â â€¦https://www.disabilitynewsservice.com/campaigners-six-year-battle-to-secure-the-truth-about-universal-credit/Â â€¦",17,0,19
MuckRock,2018,11,25,"In a goal to arm #FOIA requesters with knowledge, weâ€™re launching a new project page hosting state-by-state public record law stories and key players fighting for #transparency in those states https://buff.ly/2R3eqyNÂ pic.twitter.com/UlB407FIU1",5,0,7
Paulalovestruth,2018,11,25,"Is this article truthful @SecNielsen ?
 As a concerned citizen, I really want to know the truth. Are there any other people weakening our National security?
 @POTUS Are there?
 I am w/you Sir! I have been following DEEPSTATE corruption for a long time.
 #FOIA
 https://www.libertyheadlines.com/kelly-nielsen-opposed-expanding-military-border/Â â€¦",0,0,0
SafeLibraries,2018,11,25,#FOIA and #OpenGov in science fiction? #syfy? Watch #Stargate #SG1 S5 E9 â€œBetween Two Firesâ€ where hiding public records from the public is worse than murder and leads to the destruction of the Tollan planet by the Goaâ€™uld. @nfoic @SunFoundation @stargatecommandpic.twitter.com/XHxVgXILdY,1,0,0
norightturnnz,2018,11,25,"Interactions between UK parliamentary privilege, UK #FOIA and the US court order prohibiting publication or sharing will be fascinating.",1,0,0
MuckRock,2018,11,25,Just because records are hard to get doesnâ€™t necessarily mean theyâ€™re worth getting - the story of Virginia's $38 #Trump winery inspection reports https://buff.ly/2S5jkveÂ #FOIA pic.twitter.com/jMxNk5CbmW,4,0,3
DclareDiane,2018,11,25,"flashback @DaveNYviii: ""1) Inspector General Report Preview : Investigating the White Hats 2) On January 12, 2017 the DOJ Inspector General ainvestigation. Part of his investigation is into the FBI Vault dump that occurred on October 30th, [â€¦]"" #FBI #FOIA https://threadreaderapp.com/thread/950240423083208704.htmlÂ â€¦",0,0,1
mugshotracket,2018,11,30,"""...a measure that will allow people with low-level charges to see their day in court before their police photograph or mug shot is posted online."" @capitolfax #FOIA #Privacy #CJReform
 https://capitolfax.com/2018/11/30/question-of-the-day-2792/Â â€¦",0,0,0
MuckRock,2018,11,30,"Some of the #AmazonHQ2 finalist cities, such as #Chicago, are still fighting to keep their unsuccessful bids secret, while others, like #Pittsburgh, are just now being released https://buff.ly/2AzHgzIÂ #FOIA pic.twitter.com/POWV4n12tH",2,0,1
