screen_name,Year,Month,Date,text,likes,replies,retweets
NuclearAnthro,2019,1,1,"The @US_Stratcom #FOIA Reading Room has some gems.
 
 CONPLAN 8888-11: ZOMBIES.
 
 http://www.stratcom.mil/Portals/8/Documents/FOIA/CONPLAN_8888-11.pdf?ver=2016-10-17-114016-887Â â€¦pic.twitter.com/t6jwskcyBx",11,1,3
NuclearAnthro,2019,1,1,"my first scholarly activity of 2019 is writing out #FOIA requests for:
 
 -current social media policy and guidance & content creation process
 
 -former versions of social media policy and guidance
 
 -any records related to @us_stratcomâ€™s decision to delete their NYE post. 
 
 #PhDLifehttps://twitter.com/NuclearAnthro/status/1080233372197183489Â â€¦",36,4,2
william_summers,2019,1,1,In which I get a mention for my ridiculous battle with Parliament House authorities for a copy of a Members Dining Room LUNCH MENU! https://www.theguardian.com/australia-news/2019/jan/02/how-a-flawed-freedom-of-information-regime-keeps-australians-in-the-darkÂ â€¦ #auspol #FOIA #FOI,15,3,19
thememoryhole2,2019,1,1,"The latest documents obtained via #FOIA by Government Attic include good stuff from:
 
 NASA 
 SEC
 TSA
 US Geological Survey
 Court Services and Offender Supervision Agency for the District of Columbia
 
 https://www.governmentattic.org/Â 
 .",9,0,6
thememoryhole2,2019,1,1,"The University of Mississippi is the only entity allowed to grow marijuana used by medical/scientific researchers. 
 
 Via #FOIA, their annual reports, contracts, and other documents were recently released:
 
 http://birrenbach.com/cannabis/foia/nida/Â â€¦",4,1,3
FOIcentric,2019,1,1,"#FOI refusals at highest level since 2010 spiking recently due to secrecy of Northern Australian Infrastructure Facility #NAIF, the agency that gave conditional approval to lend #Adani $1bn taxpayersâ€™ money. Naif rejected 99.4% of requests 
  https://www.theguardian.com/australia-news/2019/jan/02/how-a-flawed-freedom-of-information-regime-keeps-australians-in-the-dark?CMP=share_btn_twÂ â€¦ #auspol #foia",0,0,2
ToddBohannon,2019,1,1,â€œThe rule would loosen timelines 4 the agency 2 fulfill Freedom of Information Act #FOIA request...Critics of the proposal warn it could jeopardize efforts to keep the public informed about the actions of the administration.â€ @commondreamshttps://www.commondreams.org/news/2018/12/31/under-cover-shutdown-trump-admin-quietly-moves-deprive-american-people-their-rightÂ â€¦,2,0,1
aprovendas,2019,1,1,"O que nÃ£o falta, sÃ£o os FDP para defender as atrocidades cubanas.
 Todavia, mudar para lÃ¡, ninguÃ©m quer.
 #PossePresidencial
 #foia",2,0,0
alanscereal,2019,1,1,If posted by an official government agency the @SCOTUSblog has ruled they CANNOT be deleted and are part of official public record. @US_Stratcom #FOIA,1,0,0
MuckRock,2019,1,1,Homeland Security claims it canâ€™t find #borderwall records posted on its website https://buff.ly/2EWEoBCÂ #FOIA pic.twitter.com/FV3w4rGOQQ,1,0,1
